+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                                                                                                                                                                                  ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_out_ic_to_avmgmem0_port_0_0_rw                                                                                                                                                                                                                                       ; 583   ; 5              ; 4            ; 5              ; 585    ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[1].a|mux_intf                                                                                                                                                                                                                                  ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[1].a|acl_reset_handler_inst|reset_fanout_pipeline|reset_sync_fanout_pipeline_inst                                                                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[1].a|acl_reset_handler_inst|reset_fanout_pipeline|pulse_extender                                                                                                                                                                               ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[1].a|acl_reset_handler_inst|reset_fanout_pipeline                                                                                                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[1].a|acl_reset_handler_inst                                                                                                                                                                                                                    ; 2     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[1].a                                                                                                                                                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 975   ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[1].mout_intf                                                                                                                                                                                                                                   ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[1].m1_intf                                                                                                                                                                                                                                     ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[1].m0_intf                                                                                                                                                                                                                                     ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[0].a|mux_intf                                                                                                                                                                                                                                  ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[0].a|acl_reset_handler_inst|reset_fanout_pipeline|reset_sync_fanout_pipeline_inst                                                                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[0].a|acl_reset_handler_inst|reset_fanout_pipeline|pulse_extender                                                                                                                                                                               ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[0].a|acl_reset_handler_inst|reset_fanout_pipeline                                                                                                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[0].a|acl_reset_handler_inst                                                                                                                                                                                                                    ; 2     ; 1              ; 0            ; 1              ; 3      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[0].a                                                                                                                                                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 975   ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[0].mout_intf                                                                                                                                                                                                                                   ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[0].m1_intf                                                                                                                                                                                                                                     ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|a[0].m0_intf                                                                                                                                                                                                                                     ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.s_endp|rrp|read_fifo                                                                                                                                                                                                                           ; 11    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.s_endp|rrp                                                                                                                                                                                                                                     ; 259   ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 584   ; 0              ; 315          ; 0                ; 315               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.s_endp|wrp                                                                                                                                                                                                                                     ; 3     ; 1              ; 1            ; 1              ; 1      ; 1               ; 1             ; 1               ; 328   ; 0              ; 321          ; 0                ; 321               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.s_endp                                                                                                                                                                                                                                         ; 260   ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 912   ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.rrp_intf                                                                                                                                                                                                                                       ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 259   ; 0              ; 259          ; 0                ; 259               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.wrp_intf                                                                                                                                                                                                                                       ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 3     ; 0              ; 3            ; 0                ; 3                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.out_arb_intf                                                                                                                                                                                                                                   ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|s.in_arb_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[2].m_endp                                                                                                                                                                                                                                      ; 2     ; 0              ; 2            ; 0              ; 0      ; 0               ; 0             ; 0               ; 1170  ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[2].rrp_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 259   ; 0              ; 259          ; 0                ; 259               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[2].wrp_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 3     ; 0              ; 3            ; 0                ; 3                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[2].arb_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[2].m_intf                                                                                                                                                                                                                                      ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 583   ; 0              ; 583          ; 0                ; 583               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[1].m_endp                                                                                                                                                                                                                                      ; 2     ; 0              ; 2            ; 0              ; 0      ; 0               ; 0             ; 0               ; 1170  ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[1].rrp_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 259   ; 0              ; 259          ; 0                ; 259               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[1].wrp_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 3     ; 0              ; 3            ; 0                ; 3                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[1].arb_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[1].m_intf                                                                                                                                                                                                                                      ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 583   ; 0              ; 583          ; 0                ; 583               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].m_endp                                                                                                                                                                                                                                      ; 2     ; 0              ; 2            ; 0              ; 0      ; 0               ; 0             ; 0               ; 1170  ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].rrp_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 259   ; 0              ; 259          ; 0                ; 259               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].wrp_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 3     ; 0              ; 3            ; 0                ; 3                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].arb_intf                                                                                                                                                                                                                                    ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 325   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw|m[0].m_intf                                                                                                                                                                                                                                      ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 583   ; 0              ; 583          ; 0                ; 583               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_icgmem0_port_0_0_rw                                                                                                                                                                                                                                                  ; 1227  ; 0              ; 0            ; 0              ; 1101   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.router[2].router                                                                                                                                                                                                                                                            ; 584   ; 1              ; 2            ; 1              ; 581    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.router[1].router                                                                                                                                                                                                                                                            ; 584   ; 1              ; 2            ; 1              ; 581    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.router[0].router                                                                                                                                                                                                                                                            ; 584   ; 1              ; 2            ; 1              ; 581    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|s.s_endp|rrp                                                                                                                                                                                                                               ; 259   ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 582   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|s.s_endp|wrp                                                                                                                                                                                                                               ; 3     ; 1              ; 2            ; 1              ; 1      ; 1               ; 1             ; 1               ; 326   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|s.s_endp                                                                                                                                                                                                                                   ; 260   ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 908   ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|s.rrp_intf                                                                                                                                                                                                                                 ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 258   ; 0              ; 258          ; 0                ; 258               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|s.wrp_intf                                                                                                                                                                                                                                 ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 2     ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|s.out_arb_intf                                                                                                                                                                                                                             ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|s.in_arb_intf                                                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|m[0].m_endp                                                                                                                                                                                                                                ; 2     ; 0              ; 2            ; 0              ; 0      ; 0               ; 0             ; 0               ; 1166  ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|m[0].rrp_intf                                                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 258   ; 0              ; 258          ; 0                ; 258               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|m[0].wrp_intf                                                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 2     ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|m[0].arb_intf                                                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2|m[0].m_intf                                                                                                                                                                                                                                ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 582   ; 0              ; 582          ; 0                ; 582               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_2                                                                                                                                                                                                                                            ; 583   ; 1              ; 0            ; 1              ; 582    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|s.s_endp|rrp                                                                                                                                                                                                                               ; 259   ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 582   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|s.s_endp|wrp                                                                                                                                                                                                                               ; 3     ; 1              ; 2            ; 1              ; 1      ; 1               ; 1             ; 1               ; 326   ; 0              ; 325          ; 0                ; 325               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|s.s_endp                                                                                                                                                                                                                                   ; 260   ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 908   ; 0              ; 0            ; 0                ; 0                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|s.rrp_intf                                                                                                                                                                                                                                 ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 258   ; 0              ; 258          ; 0                ; 258               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|s.wrp_intf                                                                                                                                                                                                                                 ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 2     ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|s.out_arb_intf                                                                                                                                                                                                                             ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|s.in_arb_intf                                                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|m[0].m_endp                                                                                                                                                                                                                                ; 2     ; 0              ; 2            ; 0              ; 0      ; 0               ; 0             ; 0               ; 1166  ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|m[0].rrp_intf                                                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 258   ; 0              ; 258          ; 0                ; 258               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|m[0].wrp_intf                                                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 2     ; 0              ; 2            ; 0                ; 2                 ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|m[0].arb_intf                                                                                                                                                                                                                              ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 324   ; 0              ; 324          ; 0                ; 324               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1|m[0].m_intf                                                                                                                                                                                                                                ; 0     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 582   ; 0              ; 582          ; 0                ; 582               ;
; the_system|hello_world_system|global_memory_tree0_inst0|gmem0_.global_ic_preroutegmem0_router_1                                                                                                                                                                                                                                            ; 583   ; 1              ; 0            ; 1              ; 582    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
